Accn	Pfam	Pfam_desc	CDD	CDD_desc	InterPro	InterPro_desc	GO	KEGG	EC	TIGRFAM	TIGRFAM_desc	HAMAP	HAMAP_desc	CAZy	KoFamScan
k141_10181_2262_2926_+	PF02779	Transketolase, pyrimidine binding domain			IPR005475	Transketolase-like, pyrimidine-binding domain	-								
k141_10181_823_972_+															
k141_10182_110_301_+															
k141_10182_326_774_+															
k141_10182_787_933_+															
k141_10182_984_1191_+															
k141_10194_1_169_+															
k141_10194_1192_2062_-															
k141_10194_2077_3437_-	PF08241;PF12146	Methyltransferase domain;Serine aminopeptidase, S33			IPR013216;IPR022742	Methyltransferase type 11;Serine aminopeptidase, S33	GO:0008168;-								
k141_10194_276_1064_-	PF01636	Phosphotransferase enzyme family			IPR002575	Aminoglycoside phosphotransferase	-								
k141_10196_1093_1183_-															
k141_10196_1_962_+	PF00078;PF08388	Reverse transcriptase (RNA-dependent DNA polymerase);Group II intron, maturase-specific domain			IPR000477;IPR013597	Reverse transcriptase domain;Group II intron, maturase-specific	-								K00986
k141_10198_1_72_-															
k141_10198_2190_2773_+	PF00730	HhH-GPD superfamily base excision DNA repair protein			IPR003265	HhH-GPD domain	GO:0006284								K10773
k141_10198_2810_3363_-	PF01268	Formate--tetrahydrofolate ligase			IPR000559	Formate-tetrahydrofolate ligase, FTHFS	GO:0004329;GO:0005524								
k141_10198_831_2152_-	PF07155	ECF-type riboflavin transporter, S component			IPR009825	ECF transporter, substrate-specific component-like	GO:0016020								
k141_10198_91_828_+	PF01478;PF06750	Type IV leader peptidase family;Bacterial Peptidase A24 N-terminal domain			IPR000045;IPR010627	Prepilin type IV endopeptidase, peptidase domain;Peptidase A24A, N-terminal	GO:0004190;GO:0016020;-								K02654
k141_1024_11152_11814_-	PF01695;PF08352	IstB-like ATP binding protein;Oligopeptide/dipeptide transporter, C-terminal region			IPR002611;IPR013563	IstB-like ATP-binding protein;Oligopeptide/dipeptide ABC transporter, C-terminal	GO:0005524;GO:0000166;GO:0015833			TIGR01727	oligo_HPY: oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal domain				
k141_1024_1460_1684_-	PF09957	Bacterial antitoxin of type II TA system, VapB			IPR019239	Bacterial antitoxin of type II TA system, VapB	-								
k141_1024_1865_3273_+	PF05598	Transposase domain (DUF772)			IPR008490	Transposase InsH, N-terminal	-								
k141_1024_1_94_-															
k141_1024_228_1337_+	PF00005;PF03459;PF17912	ABC transporter;TOBE domain;MalK OB fold domain			IPR003439;IPR005116;IPR040582	ABC transporter-like, ATP-binding domain;Transport-associated OB, type 1;MalK, OB fold domain	GO:0005524;-								K10112
k141_1024_3365_5134_+	PF01869;PF03830	BadF/BadG/BcrA/BcrD ATPase family;PTS system sorbose subfamily IIB component			IPR002731;IPR004720;IPR018455	ATPase, BadF/BadG/BcrA/BcrD type;Phosphotransferase system, sorbose subfamily IIB component;Phosphotransferase system, sorbose subfamily IIB component, subgroup	-;GO:0005737;GO:0008982;GO:0009401			TIGR00854	pts-sorbose: PTS system, mannose/fructose/sorbose family, IIB component				K18676
k141_1024_5146_6685_+	PF03609;PF03613	PTS system sorbose-specific iic component;PTS system mannose/fructose/sorbose family IID component			IPR004700;IPR004704	Phosphotransferase system, mannose/fructose/sorbose family, IIC subunit;Phosphotransferase system, mannose/fructose/sorbose family IID component	GO:0009401;GO:0016020								K02746
k141_1024_6722_7132_+	PF03610	PTS system fructose IIA component			IPR004701	Phosphotransferase system, mannose-type IIA component	GO:0009401;GO:0016020								K02744
k141_1024_7170_8024_+	PF01116	Fructose-bisphosphate aldolase class-II			IPR000771;IPR011289	Fructose-bisphosphate aldolase, class-II;Fructose-1,6-bisphosphate aldolase, class 2	GO:0005975;GO:0008270;GO:0016832;GO:0004332;GO:0006096;GO:0030388			TIGR00167;TIGR01859	cbbA: ketose-bisphosphate aldolase;fruc_bis_ald_: fructose-1,6-bisphosphate aldolase, class II				K08302;K01624
k141_1024_8027_11105_+	PF00294;PF01145;PF01380	pfkB family carbohydrate kinase;SPFH domain / Band 7 family;SIS domain			IPR011611;IPR001107;IPR001347;IPR017583;IPR022463	Carbohydrate kinase PfkB;Band 7 domain;SIS domain;Tagatose/fructose phosphokinase;Fructose 1-phosphate kinase	-;GO:0097367;GO:1901135;GO:0005975;GO:0016773;GO:0008662			TIGR03168;TIGR03828	1-PFK: hexose kinase, 1-phosphofructokinase family;pfkB: 1-phosphofructokinase				K02082;K00917;K00882
k141_10250_10379_11689_-	PF10672;PF17785	S-adenosylmethionine-dependent methyltransferase;PUA-like domain			IPR019614;IPR041532	S-adenosylmethionine-dependent methyltransferase;RlmI, PUA-like domain	GO:0008168;-								K06969
k141_10250_12012_12287_+															
k141_10250_12386_13507_+	PF01663	Type I phosphodiesterase / nucleotide pyrophosphatase			IPR002591	Type I phosphodiesterase/nucleotide pyrophosphatase/phosphate transferase	-								
k141_10250_13520_13627_+															
k141_10250_13968_15581_+	PF00583;PF03193	Acetyltransferase (GNAT) family;RsgA GTPase			IPR004881;IPR000182;IPR010914	Ribosome biogenesis GTPase RsgA;GNAT domain;RsgA GTPase domain	GO:0003924;GO:0005525;GO:0016747			TIGR00157	TIGR00157: ribosome small subunit-dependent GTPase A	MF_01820	Small ribosomal subunit biogenesis GTPase RsgA [rsgA].		K06949
k141_10250_15651_16538_-	PF01988;PF02915	VIT family;Rubrerythrin			IPR008217;IPR003251	Ccc1 family;Rubrerythrin, diiron-binding domain	GO:0005384;GO:0030026;GO:0016491;GO:0046872								K22736
k141_10250_1_586_+	PF01610	Transposase			IPR002560	Transposase IS204/IS1001/IS1096/IS1165, DDE domain	-								
k141_10250_16877_17901_+	PF02086	D12 class N6 adenine-specific DNA methyltransferase			IPR012327	D12 class N6 adenine-specific DNA methyltransferase	GO:0009007;GO:0032775			TIGR00571	dam: DNA adenine methylase				K06223
k141_10250_17911_19838_+	PF01555;PF04556	DNA methylase;DpnII restriction endonuclease			IPR002941;IPR007637	DNA methylase N-4/N-6;Restriction endonuclease, type II, DpnII-like	GO:0003677;GO:0006306;GO:0008170;GO:0009036;GO:0009307								K01155
k141_10250_19916_20659_+	PF13561	Enoyl-(Acyl carrier protein) reductase			-	-									
k141_10250_20696_20848_+															
k141_10250_20932_22167_+	PF01814;PF04282;PF13596	Hemerythrin HHE cation binding domain;Family of unknown function (DUF438);PAS domain			IPR012312;IPR007380;-	Hemerythrin-like;Domain of unknown function DUF438;-	-								K09155
k141_10250_22577_22744_-															
k141_10250_22854_22957_+															
k141_10250_23011_23380_+	PF03960	ArsC family			IPR006660	Arsenate reductase-like	-								
k141_10250_23610_24326_+	PF06094	Gamma-glutamyl cyclotransferase, AIG2-like			IPR009288	Gamma-glutamylcyclotransferase, AIG2-like domain	-								K19761
k141_10250_2426_5249_+	PF00005;PF02687	ABC transporter;FtsX-like permease family			IPR003439;IPR003838	ABC transporter-like, ATP-binding domain;ABC3 transporter permease protein domain	GO:0005524;GO:0016020								K02003
k141_10250_24644_26198_+	PF01966;PF06541	HD domain;Putative ABC-transporter type IV			IPR006674;IPR010540	HD domain;Putative ABC-transporter type IV CmpB/TMEM229	-								K06950
k141_10250_26275_26989_+	PF00395	S-layer homology domain			IPR001119	S-layer homology domain	-							SLH	
k141_10250_27043_27126_+															
k141_10250_27140_27952_-	PF04454	Encapsulating protein for peroxidase			IPR007544	Type 1 encapsulin shell protein	-								
k141_10250_27964_28323_-	PF03232	Ubiquinone biosynthesis protein COQ7			-	-									K09700
k141_10250_28581_32802_+	PF00005;PF00664;PF01047	ABC transporter;ABC transporter transmembrane region;MarR family			IPR003439;IPR011527;IPR000835	ABC transporter-like, ATP-binding domain;ABC transporter type 1, transmembrane domain;MarR-type HTH domain	GO:0005524;GO:0016020;GO:0055085;GO:0140359;GO:0003700;GO:0006355								K06147
k141_10250_32925_34679_-	PF00543;PF00909	Nitrogen regulatory protein P-II;Ammonium Transporter Family			IPR002187;IPR024041;IPR001905	Nitrogen regulatory protein PII;Ammonium transporter AmtB-like domain;Ammonium transporter	GO:0006808;GO:0030234;GO:0008519;GO:0016020;GO:0072488			TIGR00836	amt: ammonium transporter				K03320;K04751
k141_10250_35553_37489_+	PF00015;PF00672;PF12729	Methyl-accepting chemotaxis protein (MCP) signalling domain;HAMP domain;Four helix bundle sensory module for signal transduction			IPR004089;IPR003660;IPR024478	Methyl-accepting chemotaxis protein (MCP) signalling domain;HAMP domain;Chemotaxis methyl-accepting receptor HlyB-like, 4HB MCP domain	GO:0007165;GO:0016020;-								K03406
k141_10250_37726_38406_+															
k141_10250_38540_38992_+	PF01243	Pyridoxamine 5'-phosphate oxidase			IPR011576	Pyridoxamine 5'-phosphate oxidase, putative	-								
k141_10250_39010_39111_+															
k141_10250_39144_41931_+	PF00892;PF02525;PF03551;PF10400	EamA-like transporter family;Flavodoxin-like fold;Transcriptional regulator PadR-like family;Virulence activator alpha C-term			IPR000620;IPR003680;IPR005149;IPR018309	EamA domain;Flavodoxin-like fold;Transcription regulator PadR, N-terminal;Transcription regulator PadR, C-terminal	GO:0016020;-								K08978;K10917
k141_10250_42016_42351_+	PF03551	Transcriptional regulator PadR-like family			IPR005149	Transcription regulator PadR, N-terminal	-								
k141_10250_42353_43387_+	PF11193	Protein of unknown function (DUF2812)			IPR021359	Protein of unknown function DUF2812	-								
k141_10250_43428_45704_+	PF00015;PF00672	Methyl-accepting chemotaxis protein (MCP) signalling domain;HAMP domain			IPR004089;IPR003660	Methyl-accepting chemotaxis protein (MCP) signalling domain;HAMP domain	GO:0007165;GO:0016020								K03406
k141_10250_5289_6362_+	PF07833	Copper amine oxidase N-terminal domain			IPR012854	Copper amine oxidase-like, N-terminal	-								
k141_10250_596_2324_+	PF00072;PF00486;PF02518	Response regulator receiver domain;Transcriptional regulatory protein, C terminal;Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase			IPR001789;IPR001867;IPR003594	Signal transduction response regulator, receiver domain;OmpR/PhoB-type DNA-binding domain;Histidine kinase/HSP90-like ATPase	GO:0000160;GO:0003677;GO:0006355;-								K19082
k141_10250_6394_8274_-	PF00534;PF01553;PF13439	Glycosyl transferases group 1;Acyltransferase;Glycosyltransferase Family 4			IPR001296;IPR002123;IPR028098	Glycosyl transferase, family 1;Phospholipid/glycerol acyltransferase;Glycosyltransferase subfamily 4-like, N-terminal domain	GO:0016757;GO:0016746;-							GT4	K19002
k141_10250_8464_9102_+	PF03358	NADPH-dependent FMN reductase			IPR005025	NADPH-dependent FMN reductase-like	GO:0016491								
k141_10250_9252_9827_+															
k141_10250_9858_10374_+															
k141_1025_11157_11405_+	PF00390	Malic enzyme, N-terminal domain			IPR012301	Malic enzyme, N-terminal domain	GO:0004471								
k141_1025_1364_3593_-	PF01558;PF01610;PF01855	Pyruvate ferredoxin/flavodoxin oxidoreductase;Transposase;Pyruvate flavodoxin/ferredoxin oxidoreductase, thiamine diP-bdg			IPR019752;IPR002560;IPR002880;IPR022367	Pyruvate/ketoisovalerate oxidoreductase, catalytic domain;Transposase IS204/IS1001/IS1096/IS1165, DDE domain;Pyruvate flavodoxin/ferredoxin oxidoreductase, pyrimidine binding domain;2-oxoacid:acceptor oxidoreductase, alpha subunit	GO:0016903;-;GO:0016491			TIGR03710	OAFO_sf: 2-oxoacid:acceptor oxidoreductase, alpha subunit				K00174
k141_1025_1_367_+	PF07729	FCD domain			IPR011711	GntR, C-terminal	-								
k141_1025_3729_3827_-															
k141_1025_3877_4006_+															
k141_1025_4052_6819_+	PF00330;PF00392;PF00694;PF07729	Aconitase family (aconitate hydratase);Bacterial regulatory proteins, gntR family;Aconitase C-terminal domain;FCD domain			IPR011826;IPR011827;IPR001030;IPR000524;IPR000573;IPR011711;IPR006251	Homoaconitase/3-isopropylmalate dehydratase, large subunit, prokaryotic;Hydrolyase LeuD/HacB/DmdB;Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain;Transcription regulator HTH, GntR;Aconitase A/isopropylmalate dehydratase small subunit, swivel domain;GntR, C-terminal;Homoaconitase/3-isopropylmalate dehydratase, large subunit	GO:0003861;GO:0009098;GO:0051539;GO:0016836;-;GO:0003700;GO:0006355;GO:0008652			TIGR01343;TIGR02086;TIGR02087	hacA_fam: homoaconitate hydratase family protein;IPMI_arch: 3-isopropylmalate dehydratase, large subunit;LEUD_arch: 3-isopropylmalate dehydratase, small subunit	MF_01027;MF_01032	3-isopropylmalate dehydratase large subunit [leuC].;Methanogen homoaconitase small subunit [hacB].		K01703;K01704;K05799
k141_1025_485_1348_-	PF02775;PF12367	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain;Pyruvate ferredoxin oxidoreductase beta subunit C terminal			IPR011766;IPR032686;IPR011896	Thiamine pyrophosphate enzyme, C-terminal TPP-binding;Pyruvate ferredoxin oxidoreductase beta subunit, C-terminal;2-oxoacid:acceptor oxidoreductase, beta subunit	GO:0003824;GO:0030976;-			TIGR02177	PorB_KorB: 2-oxoacid:acceptor oxidoreductase, beta subunit, pyruvate/2-ketoisovalerate family				K00175
k141_1025_6884_7846_+	PF03401	Tripartite tricarboxylate transporter family receptor			IPR005064	Bordetella uptake gene	-								K07795
k141_1025_7892_9852_+	PF01970;PF07331	Tripartite tricarboxylate transporter TctA family;Tripartite tricarboxylate transporter TctB family			IPR002823;IPR009936	Protein of unknown function DUF112, transmembrane;Protein of unknown function DUF1468	-								K07793;K07794
k141_1025_9870_11138_+	PF09861	Lactate racemase N-terminal domain			IPR018657	LarA-like, N-terminal	GO:0050043								K22373
k141_1028_10008_10907_-	PF00589;PF02899	Phage integrase family;Phage integrase, N-terminal SAM-like domain			IPR023009;IPR002104;IPR004107;IPR011931;IPR011932	Tyrosine recombinase XerC/XerD;Integrase, catalytic domain;Integrase, SAM-like, N-terminal;Tyrosine recombinase XerC;Tyrosine recombinase XerD	-;GO:0003677;GO:0006310;GO:0015074;GO:0007059;GO:0051301;GO:0009009			TIGR02224;TIGR02225	recomb_XerC: tyrosine recombinase XerC;recomb_XerD: tyrosine recombinase XerD	MF_01808	Tyrosine recombinase XerC [xerC].		K03733;K04763
k141_1028_11022_12320_-	PF01134	Glucose inhibited division protein A			IPR004417;IPR040131	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO;MnmG, N-terminal domain	GO:0005737;GO:0008033;GO:0047151;GO:0050660;-			TIGR00137	gid_trmFO: tRNA:m(5)U-54 methyltransferase	MF_01037	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO [trmFO].		K04094
k141_1028_12342_14408_-	PF01131;PF01396;PF01751	DNA topoisomerase;Topoisomerase DNA binding C4 zinc finger;Toprim domain			IPR028612;IPR013497;IPR013498;IPR006171;IPR005733	DNA topoisomerase I, type IA;DNA topoisomerase, type IA, central;DNA topoisomerase, type IA, zn finger;TOPRIM  domain;DNA topoisomerase I, bacterial-type	GO:0003677;GO:0003916;GO:0006265;GO:0005694;-;GO:0003917			TIGR01051	topA_bact: DNA topoisomerase I	MF_00952	DNA topoisomerase 1 [topA].		K03168
k141_1028_14567_14634_-															
k141_1028_162_5814_-	PF00006;PF01514;PF01706;PF02050;PF02108;PF02874;PF08345;PF14841;PF14842;PF18269	ATP synthase alpha/beta family, nucleotide-binding domain;Secretory protein of YscJ/FliF family;FliG C-terminal domain;Flagellar FliJ protein;Flagellar assembly protein FliH;ATP synthase alpha/beta family, beta-barrel domain;Flagellar M-ring protein C-terminal;FliG middle domain;FliG N-terminal domain;T3SS EscN ATPase C-terminal domain			IPR000194;IPR006182;IPR023087;IPR012823;IPR018035;IPR004100;IPR013556;IPR032779;IPR028263;IPR040627;IPR000067;IPR000090;IPR005714;IPR022425	ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain;Flagellar M-ring , N-terminal;Flagellar motor switch protein FliG, C-terminal;Flagellar export FliJ;Flagellar assembly protein FliH/Type III secretion system HrpE;ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain;Flagellar M-ring C-terminal;Flagellar motor switch protein FliG, middle domain;Flagellar motor switch protein FliG, N-terminal domain;T3SS EscN ATPase, C-terminal;Flagellar M-ring protein FliF;Flagellar motor switch protein FliG;ATPase, type III secretion system, FliI/YscN;Flagellar export ATPase FliI, clade 2	GO:0005524;-;GO:0009288;GO:0071973;GO:0046034;GO:1902600;GO:0003774;GO:0009431;GO:0006935;GO:0005737;GO:0009058;GO:0016887;GO:0030254;GO:0030257;GO:0044780			TIGR00206;TIGR00207;TIGR01026;TIGR03497	fliF: flagellar M-ring protein FliF;fliG: flagellar motor switch protein FliG;fliI_yscN: ATPase, FliI/YscN family;FliI_clade2: flagellar protein export ATPase FliI				K02412;K02409;K02410;K02411;K02383;K02413
k141_10285_1_1214_-	PF02971;PF07837	Formiminotransferase domain;Formiminotransferase domain, N-terminal subdomain			IPR013802;IPR012886;IPR004227	Formiminotransferase, C-terminal subdomain;Formiminotransferase, N-terminal subdomain;Formiminotransferase catalytic domain	GO:0005542;GO:0016740			TIGR02024	FtcD: glutamate formiminotransferase				
k141_1028_5832_7154_-	PF00460;PF02049;PF06429	Flagella basal body rod protein;Flagellar hook-basal body complex protein FliE;Flagellar basal body rod FlgEFG protein C-terminal			IPR001624;IPR001444;IPR010930;IPR006299;IPR006300	Flagellar hook-basal body complex protein FliE;Flagellar basal body rod protein, N-terminal;Flagellar basal-body/hook protein, C-terminal domain;Flagellar basal-body rod protein FlgC;Flagellar basal-body rod protein FlgB	GO:0003774;GO:0005198;GO:0009288;GO:0071973;-;GO:0030694			TIGR00205;TIGR01395;TIGR01396	fliE: flagellar hook-basal body complex protein FliE;FlgC: flagellar basal-body rod protein FlgC;FlgB: flagellar basal-body rod protein FlgB	MF_00724	Flagellar hook-basal body complex protein FliE [fliE].		K02388;K02387;K02408
k141_1028_7210_7995_-	PF06018;PF08222	CodY GAF-like domain;CodY helix-turn-helix domain			IPR014154;IPR010312;IPR013198	GTP-sensing transcriptional pleiotropic repressor CodY;GTP-sensing transcriptional pleiotropic repressor CodY, N-terminal;GTP-sensing helix-turn-helix, CodY, C-terminal	GO:0003677;GO:0003700;GO:0005525;GO:0045892;-			TIGR02787	codY_Gpos: GTP-sensing transcriptional pleiotropic repressor CodY	MF_00621	GTP-sensing transcriptional pleiotropic repressor CodY [codY].		K03706
k141_1028_8048_9987_-	PF00004;PF00227;PF07724;PF10431	ATPase family associated with various cellular activities (AAA);Proteasome subunit;AAA domain (Cdc48 subfamily);C-terminal, D2-small domain, of ClpB protein			IPR004491;IPR003959;IPR001353;IPR019489;IPR022281	Heat shock protein HslU;ATPase, AAA-type, core;Proteasome, subunit alpha/beta;Clp ATPase, C-terminal;ATP-dependent protease, HslV subunit	GO:0005524;GO:0008233;GO:0009376;GO:0016887;GO:0005839;GO:0051603;-;GO:0004298;GO:0006508			TIGR00390;TIGR03692	hslU: ATP-dependent protease HslVU, ATPase subunit;ATP_dep_HslV: ATP-dependent protease HslVU, peptidase subunit	MF_00249	ATP-dependent protease ATPase subunit HslU [hslU].		K03667;K01419
k141_1030_1_301_+	PF09424	Yqey-like protein			IPR019004	Uncharacterised protein YqeY/Aim41	-								K09117
k141_10302_1_1142_-	PF00528;PF09985	Binding-protein-dependent transport system inner membrane component;C-terminal binding-module, SLH-like, of glucodextranase			IPR000515;IPR019248	ABC transporter type 1, transmembrane domain MetI-like;Glucodextranase-like, C-terminal	GO:0016020;GO:0055085;-								
k141_1030_308_1240_+	PF00317;PF02867	Ribonucleotide reductase, all-alpha domain;Ribonucleotide reductase, barrel domain			IPR013509;IPR000788	Ribonucleotide reductase large subunit, N-terminal;Ribonucleotide reductase large subunit, C-terminal	GO:0004748;GO:0005524;GO:0006260								K00525
k141_10303_1019_1829_+															
k141_10303_1919_2420_-															
k141_10303_2751_2992_+															
k141_10303_455_892_+															
k141_10303_92_397_+															
k141_10325_1_2078_-	PF00665;PF01695	Integrase core domain;IstB-like ATP binding protein			IPR001584;IPR002611	Integrase, catalytic core;IstB-like ATP-binding protein	GO:0015074;GO:0005524								
k141_10325_2138_2877_+	PF00665	Integrase core domain			IPR001584	Integrase, catalytic core	GO:0015074								
k141_10327_1_1484_+															
